epoch 1 loss: 0.5978323489427566, elapse time: 6.525475740432739
epoch 1 loss: 0.5687921673059464, elapse time: 6.010259628295898
epoch 2 loss: 0.38214987963438035, elapse time: 6.004119396209717
epoch 3 loss: 0.33297898024320605, elapse time: 5.885213375091553
epoch 4 loss: 0.31566860228776933, elapse time: 5.865347146987915
epoch 5 loss: 0.30857060849666595, elapse time: 5.889135122299194
epoch 6 loss: 0.2998769834637642, elapse time: 5.983017206192017
epoch 7 loss: 0.29543583989143374, elapse time: 5.978648662567139
epoch 8 loss: 0.28906617909669874, elapse time: 5.864171981811523
epoch 9 loss: 0.2874343752861023, elapse time: 5.858722686767578
epoch 10 loss: 0.28427221029996874, elapse time: 5.864225625991821
epoch 11 loss: 0.2821400687098503, elapse time: 5.87838888168335
epoch 12 loss: 0.2770543724298477, elapse time: 5.866777658462524
epoch 13 loss: 0.27398566007614134, elapse time: 5.866829872131348
epoch 14 loss: 0.2740226611495018, elapse time: 5.8659751415252686
epoch 15 loss: 0.26908899545669557, elapse time: 5.877852201461792
epoch 16 loss: 0.26556632444262507, elapse time: 5.922453165054321
epoch 17 loss: 0.26357891857624055, elapse time: 5.782057762145996
epoch 18 loss: 0.2667970582842827, elapse time: 5.799208641052246
epoch 19 loss: 0.2660555012524128, elapse time: 5.78815221786499
epoch 20 loss: 0.26343604996800424, elapse time: 5.786915302276611
epoch 21 loss: 0.25979088693857194, elapse time: 5.7904298305511475
epoch 22 loss: 0.25749515146017077, elapse time: 5.772481679916382
epoch 23 loss: 0.2573672853410244, elapse time: 5.784181118011475
epoch 24 loss: 0.2625172458589077, elapse time: 5.794167518615723
epoch 25 loss: 0.2555050224065781, elapse time: 5.798870325088501
epoch 26 loss: 0.2543856203556061, elapse time: 5.789867401123047
epoch 27 loss: 0.25110269859433176, elapse time: 5.7874133586883545
epoch 28 loss: 0.25212212055921557, elapse time: 5.795347213745117
epoch 29 loss: 0.24812245965003968, elapse time: 5.776019096374512
epoch 30 loss: 0.25162830799818037, elapse time: 5.7762510776519775
epoch 31 loss: 0.2508711442351341, elapse time: 5.7922844886779785
epoch 32 loss: 0.24746597111225127, elapse time: 5.798919439315796
epoch 33 loss: 0.24454006552696228, elapse time: 5.7906317710876465
epoch 34 loss: 0.2454397402703762, elapse time: 5.796505689620972
epoch 35 loss: 0.24483389779925346, elapse time: 5.792778015136719
epoch 36 loss: 0.24614655300974847, elapse time: 5.796249866485596
